"27","21901324","0","3","1","0",NULL,"1.05;2.08",NULL,NULL
"27","21912371","0","0","4","0",NULL,NULL,"1.05;2.02;2.08",NULL
"27","21912373","0","4","0","0",NULL,"1.05;2.01;2.08",NULL,NULL
"28","21605241","3","1","0","0","2.01;2.05","1.01",NULL,NULL
"28","21901324","0","4","0","0",NULL,"1.01;2.05",NULL,NULL
"28","21912371","4","0","0","0","2.01;2.05",NULL,NULL,NULL
"28","21912373","4","0","0","0","2.01;2.05",NULL,"NULL;NULL",
"29","21605241","1","3","0","0","1.07","1.01;2.08",NULL,NULL
"29","21901324","0","4","0","0",NULL,"1.01;1.07;2.05;2.08",NULL,NULL
"29","21912371","1","3","0","0","2.05","1.01;2.08",NULL,NULL
"29","21912373","3","1","0","0","1.07;2.05","2.08",NULL,NULL
"30","21605241","0","4","0","0",NULL,"2.02;2.05;3.04",NULL,NULL
"30","21901324","0","4","0","0",NULL,"2.05;2.08",NULL,NULL
"30","21912371","0","4","0","0",NULL,"2.05;2.08",NULL,NULL
"30","21912373","3","1","0","0","2.02;2.05","2.08",NULL,NULL
"31","21605241","3","1","0","0","2.01;2.05","3.04",NULL,NULL
"31","21901324","0","4","0","0",NULL,"2.05",NULL,NULL
"31","21912371","1","3","0","0","2.05","3.04",NULL,NULL
"31","21912373","4","0","0","0","2.01;2.05",NULL,"NULL;NULL",
"32","21605241","0","4","0","0",NULL,"1.04;2.01;3.04",NULL,NULL
"32","21901324","0","2","2","0",NULL,"1.01;2.05","2.05;3.04",NULL
"32","21912371","1","3","0","0","2.05","3.04",NULL,NULL
"32","21912373","0","4","0","0",NULL,"1.07;2.05;3.04",NULL,NULL
"33","21605241","1","3","0","0","2.05","1.01;2.02;4.03",NULL,NULL
"33","21901324","0","4","0","0",NULL,"1.01;2.02;4.03",NULL,NULL
"33","21912371","0","4","0","0",NULL,"1.07;3.04;4.03",NULL,NULL
"33","21912373","2","2","0","0","1.07","4.03",NULL,NULL
"34","21605241","0","3","1","0",NULL,"1.01;1.04;2.08","3.04",NULL
"34","21901324","0","4","0","0",NULL,"1.01;2.05;2.08",NULL,NULL
"34","21912371","1","3","0","0","2.05","1.01;1.06;2.08;3.04",NULL,NULL
"34","21912373","1","3","0","0","2.05","2.08;3.04",NULL,NULL
"35","21605241","0","2","2","0",NULL,"1.07;2.08","1.01",NULL
"35","21901324","0","4","0","0",NULL,"1.01;2.08",NULL,NULL
"35","21912371","0","4","0","0",NULL,"1.01;1.07;2.08",NULL,NULL
"35","21912373","0","4","0","0",NULL,"2.02;2.08",NULL,NULL
"36","21605241","0","1","3","0",NULL,"2.01","2.05",NULL
"36","21901324","0","4","0","0",NULL,"1.05",NULL,NULL
